5,3,4,1,2,9;5,4,3,9,2,1
5,25,27,3,12,8,35,4,1,89,7,6;25,5,3,27,8,35,12,1,7,6,89,4
5,9,7,14,4,6,10,8,13,2,1,3,12,11;9,14,7,5,10,13,8,6,4,2,12,11,3,1
5,7,28,15,35,9,12,21,20,22,23,2,8;28,35,15,7,21,22,20,23,12,9,5,8,2
5,3,2,4,6,1;5,3,6,4,2,1
4,7,2,1,8,5,9,3,6;7,4,2,8,9,5,6,3,1
7,3,9,5,1,6,8,0,2,12,15;7,9,3,6,1,8,2,15,12,0,5
1,4,8,9,3,2,10;1,4,3,2,9,10,8
4,2,7,5,8,1,3,6;4,7,8,5,2,6,3,1
3,2,4,1,6,5;3,4,2,6,5,1
1,45,8,2,9,23,7,10,69;1,8,9,2,45,10,7,69,23
6,7,5,1,3,2,4;7,6,1,2,3,4,5
7,2,12,15,16,21,9,0,3,4,1,5;7,12,2,21,16,0,3,4,9,5,1,15
4,2,10,5,11,1,9,3;4,10,11,5,2,9,3,1
10,31,9,20,1,6,8,3,4,12,15;10,9,31,6,1,8,4,15,12,3,20
13,2,15,5,0,11,23,6;13,15,0,5,2,6,23,11
6,5,4,3,2,1,7,10,9,8;6,5,4,3,2,10,9,8,7,1
20,5,1,4,9,12;20,5,9,4,1,12
4,17,28,1,26,80,13,21,20,22,23,11,18;28,26,1,17,21,22,20,23,13,80,4,18,11
21,7,8,9,10,12,20,15,4,5,6;21,9,8,7,12,15,20,10,5,6,4
1,7,3,4,8,5,10,16,6;7,1,3,8,10,5,6,16,4
20,13,9,3,1,6,8,0,2,12,15;20,9,13,6,1,8,2,15,12,0,3
1,4,8,2,13,5,10;1,4,13,5,2,10,8
12,2,7,5,8,10,3,6;12,7,8,5,2,6,3,10
5,3,1,2;5,3,2,1
6,9,51,10,3,2,4;9,6,10,2,3,4,51
1,6,8,2,9,23,17,10,45;1,8,9,2,6,10,17,45,23
7,2,12,23,16,20,9,0,3,4,10,5;7,12,2,20,16,0,3,4,9,5,10,23
4,2,10,5,11,1,9,3;4,10,11,5,2,9,3,1
10,31,9,20,1,6,8,3,4,12,15;10,9,31,6,1,8,4,15,12,3,20
5,3,8,9,10,12,14,15,7,2,1;5,9,8,3,12,15,14,10,2,1,7
61,7,9,14,4,0,10,18,13,2,34,3,12,11;7,14,9,61,10,13,18,0,4,2,12,11,3,34
5,7,1,15,4,9,12,21,16,17,23,2,8;1,4,15,7,21,17,16,23,12,9,5,8,2
17,3,9,2,1,6,8,0,5,12,15;17,9,3,6,1,8,5,15,12,0,2
1,4,8,9,3,2,10;1,4,3,2,9,10,8
4,2,7,5,8,1,3,6;4,7,8,5,2,6,3,1
2,1,9,14,6,5;2,9,1,6,5,14
