映射方式,专业ID,厂家ID,设备类型ID,告警对象类型ID,告警标题,厂家告警ID,告警解析辅助字段,厂家告警级别,适用的厂家版本号,告警类型,层速率,设备单板,网管告警级别,网管告警ID,告警解释,告警逻辑分类,告警逻辑子类,该事件对设备的影响,该事件对业务的影响,告警标准名,业务类型,业务信息,是否与对端网元相关,是否上报集团,告警唯一标识,发生时间,清除时间,省,地市ID,区县,网元名称,网元ID,告警定位对象名称,告警定位对象ID,定位信息,告警清除状态,网管告警流水号,设备类型名称,厂家,timestamp,告警发生与清除的时间差,告警标题出现次数
标准,1,5,929,929,eNodeB退服告警,-507,,MAJOR,BTS3900 V100R012C10,设备原始告警,,,2,0103-007-006-10-000266,基站退服,话务处理,设备退服,无影响,业务受影响,eNodeB退服告警,,,否,是,-507_系统派生_1213109,2019-09-14 00:00:08,2019-09-14 05:01:12,湖南省,2002,芦淞区,株洲河西环保局室分HL-D3900775589TF,,株洲河西环保局室分HL-D3900775589TF,,"NeType: BTS3900 LTE| NeLocation: 株洲| vendor: | neName: 株洲河西环保局室分HL-D3900775589TF| alarmName: 小区不可用告警| alarmLocation: eNodeB名称=株洲河西环保局室分HL-D3900775589TF, 本地小区标识=0, 小区双工模式=TDD, NB-IoT小区指示=FALSE, 小区名称=株洲河西环保局室分HLD3900775589TF-0, eNodeB标识=775589, 小区标识=0, 具体问题=射频单元异常| appendInfo: 基站制式=L, 影响制式=L, 部署标识=NULL, 累计时长(s)=90, eNodeBId=775589",已清除,2091162899,eNodeB,华为,1568419208,18064,249
标准,6,5,1403,32282,AMBIENT_TEMP_OVER,1-13670,,2,U2000V2R16,设备原始告警,速率无关,,2,0403-007-033-10-000540,环境温度越限,设备,硬件,可能设备局部故障,可能业务受影响,环境温度越限,,,否,否,UN-U2000-22-P_67217190,2019-09-14 00:01:24,2019-09-14 00:15:24,湖南省,2014,,1114475,,1114475,,UN-U2000-22-P:1114475:/rack=1/shelf=1/sub_shelf=29,已清除,2091157454,OTN,华为,1568419284,840,1
标准,1,15,929,929,BASE STATION CONFIGURATION PROBLEM,71122414,,1,SRAN17A&SRAN18,设备原始告警,,,2,0103-002-006-10-002112,基站配置问题:BSC对BTS初始化进程无响应,数据配置,局数据问题,可能设备局部故障,可能业务受影响,基站配置问题:BSC对BTS初始化进程无响应,,,否,否,37525736_10.154.26.50,2019-09-14 00:02:04,2019-09-14 00:11:55,湖南省,2002,醴陵市,ZZHLLChengQianPingNBNF-AirScale541979PT,,ZZHLLChengQianPingNBNF-AirScale541979PT,,PLMN-PLMN/MRBTS-541979,已清除,2091160043,eNodeB,诺基亚,1568419324,591,5
标准,1,5,929,929,BBU IR接口异常告警,26324,,MAJOR,BTS3900BTS5900 V100R013C10SPC150,设备原始告警,,,2,0103-007-006-10-000160,当BBU与下级射频单元间的链路（链路层）数据收发异常时，产生此告警。当该链路数据收发正常后，且该状态持续1.5分钟（默认）时，则上报告警恢复。告警产生和恢复的时长可以通过SET ALMFILTER命令进行设置。,信令与IP,链路故障,设备局部故障,业务受影响,BBU IR接口异常告警,,,否,否,37507501_10.154.18.9,2019-09-14 00:03:03,2019-09-14 04:36:35,湖南省,2000,开福区,长沙开福区北辰三角洲A1区办公楼2HL-D3900459736TF,,长沙开福区北辰三角洲A1区办公楼2HL-D3900459736TF,,"NeType: BTS3900 LTE| NeLocation: 长沙| vendor: 华为| neName: 长沙开福区北辰三角洲A1区办公楼2HL-D3900459736TF| alarmName: BBU IR接口异常告警| alarmLocation: 柜号=0, 框号=0, 槽号=4, 端口号=0, 单板类型=LBBP, 具体问题=IR接口接收异常| appendInfo: 基站制式=L, 影响制式=L, 部署标识=NULL, 累计时长(s)=6, eNodeBId=459736",已清除,2091274664,eNodeB,华为,1568419383,16412,55
标准,6,5,1403,32004,ODU_SNCP_PS,1-12541,,2,U2000V2R16,设备原始告警,速率无关,光线路接口板,2,0403-007-033-10-000204,ODU SNCP保护倒换,通信,倒换,可能设备局部故障,可能业务受影响,ODU_SNCP_PS,,,是,否,SHY-U2000-21-P_168940090,2019-09-14 00:03:06,2019-09-14 00:13:07,湖南省,2008,邵东县,26-邵东县移动大楼,,26-邵东县移动大楼-1-0-2-TN53NQ2 (TN5M3NQ201)-4,,SHY-U2000-21-P:589850:/rack=1/shelf=589850/slot=2/domain=wdm/port=4,已清除,2091164454,OTN,华为,1568419386,601,28
标准,1,5,929,929,eNodeB退服告警,-507,,MAJOR,BTS3900 V100R012C10,设备原始告警,,,2,0103-007-006-10-000266,基站退服,话务处理,设备退服,无影响,业务受影响,eNodeB退服告警,,,否,是,-507_系统派生_1213113,2019-09-14 00:03:12,2019-09-14 05:31:07,湖南省,2006,赫山区,益阳赫山区朝阳汽车站室分HL-D3900464786TF,,益阳赫山区朝阳汽车站室分HL-D3900464786TF,,"NeType: BTS3900 LTE| NeLocation: 益阳| vendor: | neName: 益阳赫山区朝阳汽车站室分HL-D3900464786TF| alarmName: 小区不可用告警| alarmLocation: eNodeB名称=益阳赫山区朝阳汽车站室分HL-D3900464786TF, 本地小区标识=1, 小区双工模式=TDD, NB-IoT小区指示=FALSE, 小区名称=益阳赫山区朝阳汽车站室分HLD3900464786TF-1, eNodeB标识=464786, 小区标识=1, 具体问题=射频单元异常| appendInfo: 基站制式=L, 影响制式=L, 部署标识=NULL, 累计时长(s)=90, eNodeBId=464786",已清除,2091177821,eNodeB,华为,1568419392,19675,249
标准,1,15,929,929,BASE STATION HARDWARE PROBLEM,71004309,,1,TL18,设备原始告警,,,2,0103-002-006-10-001706,系统模块与射频模块之间的RP3连接或者扩展的基带模块和射频模块之间6Gbps不稳定。,操作维护,操作异常,设备全阻,业务全阻,系统模块与射频模块之间的RP3连接或者扩展的基带模块和射频模块之间6Gbps不稳定。,,,否,否,1003450_10.154.26.177,2019-09-14 00:03:26,2019-09-14 00:14:09,湖南省,2011,溆浦县,huhxpyemingzhuNBNF-AirScale376855PT,,huhxpyemingzhuNBNF-AirScale376855PT,,PLMN-PLMN/MRBTS-376855/EQM_R-1/HWTOP_R-1/CABLINK_R-1002,已清除,2091165332,eNodeB,诺基亚,1568419406,643,5
标准,6,5,1403,32004,ODU_SNCP_PS,1-12541,,2,U2000V2R16,设备原始告警,速率无关,光线路接口板,2,0403-007-033-10-000204,传输告警,通信,倒换,可能设备局部故障,可能业务受影响,ODU_SNCP_PS,,,是,否,LDI-U2000-21-P_103291361,2019-09-14 00:05:10,2019-09-14 00:15:35,湖南省,2007,新化县,16-新化县移动综合楼-HW骨干汇聚1-OTN,,16-新化县移动综合楼-HW骨干汇聚1-OTN-1-2-3-TN13OAU1 (TN13OAU101)-4,,LDI-U2000-21-P:458768:/rack=1/shelf=458768/slot=3/domain=wdm/port=4,已清除,2091171749,OTN,华为,1568419510,625,28
标准,1,1,929,929,Sync Reference Excessive Wander,0,,2,,设备原始告警,,,2,0103-001-006-10-000414,同步参考丢失超过门限,话务处理,中央处理器故障,无影响,无影响,同步参考过度失步,,,否,否,255869612_10.154.21.118,2019-09-14 00:05:11,2019-09-14 00:58:11,湖南省,2013,汨罗市,YUYMLtaolinsanzhongEL-R6601774870PT,,YUYMLtaolinsanzhongEL-R6601774870PT,,"SubNetwork=ONRM_ROOT_MO,SubNetwork=Miluo,MeContext=YUYMLtaolinsanzhongEL-R6601774870PT,ManagedElement=1,TransportNetwork=1,Synchronization=1",已清除,2091171457,eNodeB,中兴,1568419511,3180,4
标准,8,24,6015,6015,一体化设备采集器通信状态告警,,基站,1,无,设备原始告警,,,2,698-076-00-076003,涵盖具备智能设备采集，以及非智能的温度、湿度、火警、门碰、水浸、红外等采集；或者蓄电池采集、视频采集、节能等多种设备的综合采集器通信状态告警。,采集设备通信中断告警,设备局部故障,可能业务受影响,无,一体化设备采集器通信状态告警,,,否,否,92726938307F2481E05352801DACC921,2019-09-14 00:05:57,2019-09-14 00:21:52,湖南省,2011,,[33]沅陵县舒溪口乡+太常乡塔子界RRUZT,,[33]沅陵县舒溪口乡+太常乡塔子界RRUZT,,,已清除,2091175854,监控设备,鑫天兴,1568419557,955,81
